[00:11:16.411] {'base_lr': 0.001,
 'batch_size': 24,
 'cfg': 'config_2d_aut.yml',
 'consistency': 2.0,
 'consistency_rampup': 50,
 'cr_weight': 0.1,
 'deterministic': False,
 'ema_decay': 0.99,
 'exp': 'ACDC_runs/vema',
 'gpu_id': 0,
 'labeled_bs': 12,
 'labeled_num': 3,
 'max_iterations': 30000,
 'model1': 'unet',
 'model2': 'unet',
 'num_classes': 4,
 'p_cm': 0.3,
 'patch_size': [256, 256],
 'poly': True,
 'res_path': './results/ACDC',
 'root_path': '/home/chenyu/SSMIS/data/ACDC',
 'save_interval_epoch': 1000000,
 'seed': 2025,
 'test_interval_ep': 2}
[00:11:16.905] Total silices is: 1312, labeled slices is: 68
[00:11:16.905] 103 iterations per epoch
[00:11:42.346] iteration:77  t-loss1/2:0.2057/0.2470, loss-lb1/2:0.2020/0.2410, loss-ulb1/2:0.2750/0.4412, weight:0.01, lr:0.0010
[00:11:42.681] iteration:78  t-loss1/2:0.1536/0.2260, loss-lb1/2:0.1457/0.2193, loss-ulb1/2:0.5866/0.5017, weight:0.01, lr:0.0010
[00:11:42.875] iteration:79  t-loss1/2:0.1605/0.2417, loss-lb1/2:0.1574/0.2363, loss-ulb1/2:0.2316/0.4015, weight:0.01, lr:0.0010
[00:11:43.069] iteration:80  t-loss1/2:0.1334/0.2353, loss-lb1/2:0.1303/0.2287, loss-ulb1/2:0.2283/0.4908, weight:0.01, lr:0.0010
[00:11:43.404] iteration:81  t-loss1/2:0.1594/0.2284, loss-lb1/2:0.1515/0.2220, loss-ulb1/2:0.5832/0.4737, weight:0.01, lr:0.0010
[00:11:43.597] iteration:82  t-loss1/2:0.1182/0.2395, loss-lb1/2:0.1151/0.2335, loss-ulb1/2:0.2365/0.4425, weight:0.01, lr:0.0010
[00:11:43.791] iteration:83  t-loss1/2:0.1538/0.2371, loss-lb1/2:0.1486/0.2318, loss-ulb1/2:0.3846/0.3877, weight:0.01, lr:0.0010
[00:11:44.126] iteration:84  t-loss1/2:0.1950/0.2341, loss-lb1/2:0.1868/0.2263, loss-ulb1/2:0.6096/0.5817, weight:0.01, lr:0.0010
[00:11:44.461] iteration:85  t-loss1/2:0.1302/0.2237, loss-lb1/2:0.1236/0.2177, loss-ulb1/2:0.4855/0.4480, weight:0.01, lr:0.0010
[00:11:44.800] iteration:86  t-loss1/2:0.1651/0.2378, loss-lb1/2:0.1579/0.2315, loss-ulb1/2:0.5339/0.4645, weight:0.01, lr:0.0010
[00:11:45.136] iteration:87  t-loss1/2:0.1443/0.2135, loss-lb1/2:0.1363/0.2064, loss-ulb1/2:0.5947/0.5278, weight:0.01, lr:0.0010
